Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,,
Type03,250,RATIO_CTRL,5.44264,5.21632,5.4291,3.4379,11.05735,4.3191,0.87029,0.93065,,,,,,,,,,,
Type03,255,PCA_GPR,34.73402,31.43602,14.2277,3.20194,13.63257,1.33542,0.87228,0.93179,,,,,,,,,,,
Type03,255,PCA_KRR,35.31247,31.97147,14.89516,3.52425,15.18052,1.77034,0.86149,0.92559,,,,,,,,,,,
Type03,255,PCA_LINEAR,34.58411,31.27052,14.19729,3.16587,14.52268,1.40875,0.8725,0.93191,,,,,,,,,,,
Type03,255,PCA_SVR,36.20934,33.12483,15.1172,3.86161,8.02122,1.59235,0.85289,0.9206,,,,,,,,,,,
Type03,255,PURE_GPR,34.88776,31.50644,14.25307,3.34296,16.05628,1.71356,0.86551,0.9279,,,,,,,,,,,
Type03,255,PURE_KRR,35.2888,31.98608,15.04662,3.55958,14.80725,1.84725,0.86167,0.9257,,,,,,,,,,,
Type03,255,PURE_SVR,35.20836,31.78006,15.0313,3.5335,15.74878,1.74918,0.85957,0.92448,,,,,,,,,,,
Type03,255,RATIO_CTRL,2.78923,2.68534,4.03332,2.32337,5.46551,3.56871,0.89894,0.94678,,,,,,,,,,,
Type03,260,PCA_GPR,32.55142,29.07387,13.82029,3.78044,26.50133,3.42956,0.85285,0.92058,,,,,,,,,,,
Type03,260,PCA_KRR,35.07103,31.74922,15.52318,3.75045,12.96003,2.54653,0.85306,0.9207,,,,,,,,,,,
Type03,260,PCA_LINEAR,34.85519,31.49536,13.53829,3.50891,12.08606,2.24514,0.8634,0.9267,,,,,,,,,,,
Type03,260,PCA_SVR,35.21275,31.85948,15.5237,3.71993,12.09134,2.31877,0.85482,0.92173,,,,,,,,,,,
Type03,260,PURE_GPR,35.28664,31.92894,14.87445,3.84536,12.28757,2.58496,0.84222,0.91435,,,,,,,,,,,
Type03,260,PURE_KRR,34.91771,31.58874,15.6537,3.77035,13.53376,2.59801,0.8538,0.92114,,,,,,,,,,,
Type03,260,PURE_SVR,34.85155,31.43339,15.55958,3.69132,14.02622,2.49421,0.85573,0.92226,,,,,,,,,,,
Type03,260,RATIO_CTRL,2.95159,2.60392,4.49786,1.87126,9.10524,3.46001,0.91347,0.95478,,,,,,,,,,,
Type03,265,PCA_GPR,30.73326,27.30107,16.22407,3.92814,39.97066,1.70378,0.85595,0.92238,,,,,,,,,,,
Type03,265,PCA_KRR,35.24078,31.65266,16.32498,3.91264,10.24021,0.7074,0.84995,0.91889,,,,,,,,,,,
Type03,265,PCA_LINEAR,35.35428,31.72346,17.3485,3.61355,10.22043,0.77424,0.86135,0.92551,,,,,,,,,,,
Type03,265,PCA_SVR,35.00922,30.99448,17.22228,3.99078,16.34597,1.18933,0.84778,0.91762,,,,,,,,,,,
