Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,,
Type03,230,PCA_SVR,8.32014,7.90187,2.2803,0.55549,4.47897,0.54289,0.96994,0.98474,,,,,,,,,,
Type03,230,PURE_GPR,14.89262,14.61309,8.93097,2.15582,22.131,1.80607,0.89385,0.94395,,,,,,,,,,
Type03,230,PURE_KRR,7.68796,7.09891,0.79027,0.27618,0.51869,0.09123,0.98003,0.98991,,,,,,,,,,
Type03,230,PURE_SVR,7.4681,6.83123,0.94307,0.20446,2.27748,0.02528,0.98633,0.99312,,,,,,,,,,
Type03,230,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,,
Type03,235,PCA_GPR,18.39644,18.07049,20.40177,4.55878,59.53404,3.84122,0.83873,0.91229,,,,,,,,,,
Type03,235,PCA_KRR,7.83525,7.07797,1.90185,0.8202,4.52106,1.8163,0.95412,0.97652,,,,,,,,,,
Type03,235,PCA_LINEAR,7.92758,7.27707,1.98812,0.93392,4.01168,1.79291,0.95405,0.97649,,,,,,,,,,
Type03,235,PCA_SVR,7.54144,6.814,2.12261,0.92508,5.74952,1.6198,0.94992,0.97432,,,,,,,,,,
Type03,235,PURE_GPR,12.52115,12.02733,5.46094,1.42724,10.42149,0.41732,0.92174,0.95928,,,,,,,,,,
Type03,235,PURE_KRR,7.78978,7.04005,1.91863,0.83989,4.71914,1.7773,0.95299,0.97593,,,,,,,,,,
Type03,235,PURE_SVR,7.88223,7.11825,1.8743,0.90183,6.76295,1.59028,0.95184,0.97533,,,,,,,,,,
Type03,235,RATIO_CTRL,2.38319,2.26817,1.19671,0.42185,0.01504,0.80508,0.97505,0.98737,,,,,,,,,,
Type03,245,PCA_GPR,13.32274,13.1336,10.79919,2.92065,31.34506,3.00433,0.89237,0.94313,,,,,,,,,,
Type03,245,PCA_KRR,8.35749,7.7811,1.9134,0.71947,2.20085,0.51315,0.96594,0.98267,,,,,,,,,,
Type03,245,PCA_LINEAR,8.23054,7.57847,1.79119,0.60109,0.94055,0.12754,0.96646,0.98294,,,,,,,,,,
Type03,245,PCA_SVR,8.76831,8.28916,2.7968,0.85674,0.55092,0.40845,0.96129,0.98026,,,,,,,,,,
Type03,245,PURE_GPR,9.59449,8.91004,2.11688,0.75229,0.79606,0.29632,0.95412,0.97652,,,,,,,,,,
Type03,245,PURE_KRR,8.48578,7.9278,2.09163,0.76955,1.33817,0.45403,0.96333,0.98132,,,,,,,,,,
Type03,245,PURE_SVR,8.55022,7.92932,2.33989,0.83714,2.94124,0.32393,0.96203,0.98065,,,,,,,,,,
