Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice
Type03,250,RATIO_CTRL,4.31164,4.21974,3.75738,1.61322,4.20323,2.36538,0.9407,0.96944
Type03,255,PCA_GPR,5.3074,4.8783,2.4097,0.79435,5.90966,0.19692,0.9503,0.97452
Type03,255,PCA_KRR,5.76389,5.31305,3.00334,1.09582,9.86074,0.36566,0.92033,0.95851
Type03,255,PCA_LINEAR,5.20747,4.76891,2.37724,0.82644,6.80861,0.27746,0.9491,0.97388
Type03,255,PCA_SVR,6.31031,6.02694,3.49541,1.2335,4.04714,0.14701,0.92078,0.95875
Type03,255,PURE_GPR,4.99429,4.55352,3.15908,1.17361,10.44711,0.47115,0.92382,0.9604
Type03,255,PURE_KRR,5.86279,5.42462,3.45005,1.28807,8.09952,0.32178,0.91884,0.9577
Type03,255,PURE_SVR,5.64148,5.1194,3.48822,1.35456,9.97878,0.43619,0.90415,0.94966
Type03,255,RATIO_CTRL,1.86631,1.55604,3.68423,1.31217,1.24653,2.17912,0.9509,0.97483
Type03,260,PCA_GPR,4.3634,3.87538,4.95001,1.40658,19.49182,1.0105,0.93052,0.96401
Type03,260,PCA_KRR,7.45393,5.99615,4.29625,0.94926,9.47669,0.84394,0.90465,0.94994
Type03,260,PCA_LINEAR,5.41229,5.02054,2.1608,0.59716,4.93734,0.29147,0.95582,0.97741
Type03,260,PCA_SVR,8.09293,6.44446,4.70906,1.045,6.73589,1.31629,0.89655,0.94545
Type03,260,PURE_GPR,6.56763,5.54673,3.88582,1.01543,11.2485,0.00786,0.90927,0.95248
Type03,260,PURE_KRR,7.60462,6.28105,4.34437,1.26871,8.15544,0.93442,0.89703,0.94572
Type03,260,PURE_SVR,7.84729,6.47135,4.57318,1.26853,8.93046,1.0191,0.89109,0.94241
Type03,260,RATIO_CTRL,2.89543,2.6174,4.55718,1.77498,4.15749,3.10302,0.93622,0.96706
Type03,265,PCA_GPR,6.11872,5.50555,10.75948,2.87059,34.7484,3.83462,0.88859,0.94101
Type03,265,PCA_KRR,9.51719,7.85646,5.37831,1.62823,8.72098,0.1405,0.87412,0.93283
Type03,265,PCA_LINEAR,5.71067,5.31007,2.8459,1.22699,4.72075,1.11989,0.93933,0.96872
Type03,265,PCA_SVR,10.52675,8.87247,5.91201,1.62534,7.79387,0.70915,0.86123,0.92544
Type03,265,PURE_GPR,8.41733,7.55062,4.83087,1.79184,12.53929,1.51293,0.87953,0.9359
Type03,265,PURE_KRR,9.87122,8.45264,5.41233,1.97518,7.46905,0.28727,0.8636,0.92681
Type03,265,PURE_SVR,10.40606,8.88075,5.31321,1.92694,6.61202,0.75581,0.86782,0.92923
Type03,265,RATIO_CTRL,3.671,3.57685,4.67332,1.68749,5.39525,2.19546,0.93824,0.96814
Type03,270,PCA_GPR,7.88411,7.102,14.97511,4.67098,52.48463,6.59978,0.8344,0.90972
Type03,270,PCA_KRR,8.98541,7.51543,5.74391,2.11332,8.53728,0.7079,0.85345,0.92093
Type03,270,PCA_LINEAR,6.57462,6.15937,4.0549,1.81364,6.96684,2.51289,0.91678,0.95658
Type03,270,PCA_SVR,9.55526,7.70192,6.13325,2.11083,9.24374,0.16435,0.84051,0.91334
Type03,270,PURE_GPR,6.57459,5.74881,5.07254,2.50878,16.08092,3.03233,0.85899,0.92415
Type03,270,PURE_KRR,9.30481,7.80957,5.60154,2.46164,6.88183,0.47653,0.84356,0.91514
Type03,270,PURE_SVR,10.10994,8.56531,5.83058,2.40359,4.43762,0.38268,0.85469,0.92165
Type03,270,RATIO_CTRL,1.60733,1.47993,2.61874,1.08462,4.15274,1.06632,0.96018,0.97968
Type03,275,PCA_GPR,10.84505,9.3771,20.95861,5.13636,66.69261,5.86867,0.82333,0.9031
Type03,275,PCA_KRR,10.23356,8.34339,5.22678,1.61272,4.67797,1.69997,0.87833,0.93522
Type03,275,PCA_LINEAR,6.04947,5.34568,3.15317,1.24487,5.66796,0.367,0.93695,0.96745
Type03,275,PCA_SVR,10.45318,8.86981,5.55204,1.83152,7.04693,2.01849,0.8631,0.92652
Type03,275,PURE_GPR,7.22572,6.96868,4.86028,2.11457,16.60918,1.10419,0.88629,0.93972
Type03,275,PURE_KRR,10.60712,8.95393,5.24494,2.01453,2.68736,1.97001,0.86696,0.92874
Type03,275,PURE_SVR,11.47214,9.49117,5.98983,2.12149,1.92837,3.0285,0.87637,0.93411
Type03,275,RATIO_CTRL,5.09668,4.95477,4.75856,2.0313,6.4385,3.62493,0.93026,0.96387
Type03,280,PCA_GPR,12.60323,10.65653,24.89352,5.3233,80.51484,4.10168,0.81555,0.89841
Type03,280,PCA_KRR,7.71606,6.65816,4.7846,1.47384,0.36957,4.66876,0.89393,0.944
Type03,280,PCA_LINEAR,5.6832,5.25171,2.92269,0.9826,4.10609,2.78216,0.94148,0.96986
Type03,280,PCA_SVR,7.40537,6.39212,4.95703,1.68795,2.06594,4.75988,0.89002,0.94181
Type03,280,PURE_GPR,3.75425,3.37384,5.56288,1.72761,17.6065,1.69121,0.91583,0.95606
Type03,280,PURE_KRR,7.9152,6.87078,5.66237,1.85304,2.2845,4.95489,0.88683,0.94002
Type03,280,PURE_SVR,8.98719,8.01324,6.65436,2.13683,7.50193,5.90318,0.89086,0.94228
Type03,280,RATIO_CTRL,5.20892,4.6222,8.27767,3.23825,9.10155,7.10453,0.89811,0.94632
Type04,230,PCA_GPR,19.37116,18.21777,27.41281,6.34861,84.86179,7.36152,0.79451,0.88549
