Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type05,240,14.208561,8.805659,3.604337,1.626512,1.685491,1.626263,3.104231,3.310724,8.805659,1.567533,1.467596,3.037493,3.204210,8.805659,15.123311,9.900084,1.052661,1.236479,1.303925,1.205232,2.371789,3.166484,9.900084,1.169032,1.099393,2.025896,2.442729,9.900084,15.123311,9.900084,1.052661,1.236479,1.303925,1.205232,2.371789,3.166484,9.900084,1.169032,1.099393,2.025896,2.442729,9.900084
Type05,260,16.384454,11.198908,0.004126,2.275625,2.278223,1.971561,4.313608,5.101810,11.198908,2.273026,1.966124,4.296044,5.199193,11.198908,16.640939,10.581057,3.632619,2.500574,2.468919,2.214348,5.084948,5.548783,10.581057,2.532229,2.246290,5.240876,5.556976,10.581057,16.640939,10.581057,3.632619,2.500574,2.468919,2.214348,5.084948,5.548783,10.581057,2.532229,2.246290,5.240876,5.556976,10.581057
Type05,280,70.705206,7.720112,4.178966,3.249173,3.227566,3.289752,5.314690,5.912001,7.720112,3.270780,3.339499,5.369631,6.038320,7.720112,68.958940,7.594274,2.438956,2.172672,2.158076,1.250154,4.648409,5.581676,7.594274,2.187267,1.248015,4.714452,5.727499,7.594274,68.958940,7.594274,2.438956,2.172672,2.158076,1.250154,4.648409,5.581676,7.594274,2.187267,1.248015,4.714452,5.727499,7.594274
Type06,230,12.957642,4.679453,12.264131,1.077233,1.138970,0.913841,2.465050,3.332475,4.679453,1.015497,0.864044,1.908959,2.644654,4.669639,13.353633,4.496905,13.893413,1.145706,1.190271,1.031159,2.433962,2.981498,4.496905,1.101141,1.018929,2.229146,2.494805,4.490054,13.353633,4.496905,13.893413,1.145706,1.190271,1.031159,2.433962,2.981498,4.496905,1.101141,1.018929,2.229146,2.494805,4.490054
Type06,240,14.480402,4.010841,15.764013,1.513305,1.536240,1.271468,3.225992,3.696589,4.010841,1.490369,1.228058,3.111385,3.628711,4.008886,13.971496,3.845063,15.308582,1.375694,1.407123,1.155961,3.074154,3.397276,3.845063,1.344264,1.097614,2.856804,3.319683,3.837373,13.971496,3.845063,15.308582,1.375694,1.407123,1.155961,3.074154,3.397276,3.845063,1.344264,1.097614,2.856804,3.319683,3.837373
Type06,250,13.855858,5.423017,20.092133,1.697823,1.751760,1.317611,4.188160,5.020003,5.423017,1.643886,1.243780,3.787169,4.813166,5.415130,14.751260,4.627298,14.609078,1.331768,1.394972,1.145029,2.897011,3.367216,4.627298,1.268565,1.096441,2.575341,2.952078,4.616500,14.751260,4.627298,14.609078,1.331768,1.394972,1.145029,2.897011,3.367216,4.627298,1.268565,1.096441,2.575341,2.952078,4.616500
Type06,270,15.093220,5.805071,19.465292,2.471834,2.500911,2.097160,4.539198,5.263041,5.805071,2.442757,1.992066,4.446888,5.282326,5.805071,16.422412,5.043653,16.928365,1.899463,1.945402,1.699653,4.055459,4.591139,5.043653,1.853524,1.578085,3.956936,4.592818,5.043653,16.422412,5.043653,16.928365,1.899463,1.945402,1.699653,4.055459,4.591139,5.043653,1.853524,1.578085,3.956936,4.592818,5.043653
Type06,280,16.522301,6.105769,18.330937,2.186265,2.237819,1.880727,4.104758,4.271899,6.105769,2.134710,1.761573,4.005238,4.216627,6.097656,16.488630,5.411065,19.131108,1.970781,2.027755,1.854422,3.980139,4.644355,5.411065,1.913807,1.688906,3.791302,4.487981,5.401138,16.488630,5.411065,19.131108,1.970781,2.027755,1.854422,3.980139,4.644355,5.411065,1.913807,1.688906,3.791302,4.487981,5.401138
Type07,250,17.302554,12.506842,0.250046,1.425827,1.485729,1.213680,2.974762,3.647679,12.506842,1.365925,1.134316,2.601130,3.083618,12.506842,14.413474,9.268407,1.259289,1.320913,1.371233,1.149544,2.656523,3.625299,9.268407,1.270592,1.100994,2.485621,2.711003,9.268407,14.413474,9.268407,1.259289,1.320913,1.371233,1.149544,2.656523,3.625299,9.268407,1.270592,1.100994,2.485621,2.711003,9.268407
Type07,270,15.117131,9.501935,3.622983,1.860039,1.933967,1.472185,3.873122,5.856531,9.501935,1.786110,1.360001,3.677023,4.717877,9.501935,15.652968,9.263213,1.746080,1.378340,1.445375,1.088720,2.647885,4.714063,9.263213,1.311305,1.042387,2.479380,2.927652,9.263213,15.652968,9.263213,1.746080,1.378340,1.445375,1.088720,2.647885,4.714063,9.263213,1.311305,1.042387,2.479380,2.927652,9.263213
Type07,280,19.102259,7.015854,4.832806,2.587573,2.661103,2.103545,6.050139,6.242590,7.015854,2.514043,1.865204,5.977485,6.196153,7.015854,16.768563,9.928823,2.353587,2.207797,2.296792,2.087532,3.809328,6.392935,9.928823,2.118803,1.906940,3.581135,4.408252,9.928823,16.768563,9.928823,2.353587,2.207797,2.296792,2.087532,3.809328,6.392935,9.928823,2.118803,1.906940,3.581135,4.408252,9.928823
