sample_index,distance_mm
1365,0.811284
1366,0.810315
1367,0.803250
1368,0.801649
1369,0.794702
1370,0.792438
1371,0.785580
1372,0.782622
1373,0.835340
1374,0.772140
1375,0.765368
1376,0.760932
1377,0.754158
1378,0.819227
1379,0.742110
1380,0.735995
1381,0.798044
1382,0.867325
1383,0.816829
1384,0.705959
1385,0.772529
1386,0.688170
1387,0.756991
1388,0.813667
1389,0.803715
1390,0.799956
1391,0.779740
1392,0.774852
1393,0.752546
1394,0.746366
1395,0.721781
1396,0.714149
1397,0.832416
1398,0.811973
1399,0.793410
1400,0.770696
1401,0.749771
1402,0.789346
1403,0.701145
1404,0.789281
1405,0.792562
1406,0.771125
1407,0.755397
1408,0.846064
1409,0.812723
1410,0.784066
1411,0.875319
1412,0.848614
1413,0.807571
1414,0.770809
1415,0.733683
1416,0.681132
1417,0.767785
1418,0.756772
1419,0.819629
1420,0.792910
1421,0.856696
1422,0.799999
1423,0.782071
1424,0.822653
1425,0.795305
1426,0.851431
1427,0.913331
1428,0.838616
1429,0.793677
1430,0.830561
1431,0.777514
1432,0.856409
1433,0.870725
1434,0.823690
1435,0.831842
1436,0.779720
1437,0.848320
1438,0.820589
1439,0.788877
1440,0.853898
1441,0.779452
1442,0.782410
1443,0.846042
1444,0.858659
1445,0.750514
1446,0.789536
1447,0.773975
1448,0.807951
1449,0.846466
1450,0.875678
1451,0.850157
1452,0.885051
1453,0.851818
1454,0.857662
1455,0.871905
1456,0.820871
1457,0.838993
1458,0.982654
1459,0.974382
1460,0.909472
1461,0.906687
1462,1.034063
1463,0.956849
1464,0.967420
1465,1.020398
1466,0.985379
1467,1.006534
1468,1.070084
1469,1.010779
1470,1.054915
1471,1.029590
1472,1.017818
1473,1.071335
1474,1.015088
1475,1.030007
1476,0.860087
1477,1.002311
1478,0.865341
1479,0.944931
1480,0.928217
1481,0.860946
1482,0.896937
1483,0.814081
1484,0.772721
1485,0.750364
1486,0.768646
1487,0.616005
1488,0.673408
1489,0.654662
1490,0.649046
1491,0.638321
1492,0.809850
1493,0.686615
1494,0.916909
1495,0.947239
1496,0.992560
1497,1.100168
1498,1.199387
1499,23.486005
