type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25
Type04, L, 250, 62.151524, 253.744446, 54.198312, 254.789344, 34.681780, 245.128383, 25.679620, 218.951353, 23.948365, 191.564146, 18.135387, 165.994734, 11.531887, 141.046418, 5.189798, 116.034275, 0.000000, 89.919472, 1.663292, 63.310865, 9.807295, 38.722753, 22.004338, 12.800206, 47.860647, 0.000000, 74.142901, 10.287089, 87.484146, 36.397884, 91.256629, 61.538048, 89.335587, 87.468965, 85.434017, 112.760066, 82.864282, 138.776683, 86.142870, 165.668267, 88.543996, 190.570605, 90.940482, 215.515402, 89.250627, 242.802768, 70.325326, 254.549444, 62.172647, 253.137259
Type04, L, 260, 59.622161, 264.323950, 50.583494, 265.021829, 31.834876, 253.669745, 26.409810, 225.944707, 22.542342, 200.041477, 17.940427, 172.865970, 11.536138, 147.108308, 5.669851, 120.282087, 0.000000, 94.181265, 1.961773, 67.299952, 10.099171, 41.651037, 21.517111, 14.729634, 48.069376, 0.000000, 75.423559, 11.743640, 86.748127, 39.567422, 91.508529, 64.731639, 88.504205, 92.046995, 83.807450, 117.830801, 82.529110, 144.621091, 84.962969, 172.439830, 88.097790, 198.785085, 91.415058, 226.399435, 87.693555, 254.033534, 67.688023, 266.138442, 59.916944, 263.536687
Type04, L, 265, 60.030329, 269.470950, 51.414505, 270.888050, 31.600845, 261.099510, 24.900109, 232.257869, 21.652780, 205.382401, 17.449465, 177.434230, 11.236119, 150.928525, 5.607870, 123.921775, 0.000000, 97.404636, 0.799142, 69.606422, 8.997905, 43.917187, 19.367061, 15.963982, 45.700975, 0.000000, 75.332139, 11.643733, 85.739898, 40.464430, 91.331752, 65.876032, 89.360332, 93.449297, 85.499697, 119.629569, 84.018303, 147.624566, 85.498513, 173.897872, 89.262285, 201.552876, 91.080377, 228.592205, 88.088562, 257.985318, 69.774840, 271.010761, 59.885268, 268.691375
Type04, L, 270, 63.896552, 274.711254, 54.821594, 276.341291, 33.844684, 265.967863, 27.633533, 237.788091, 23.354737, 210.344161, 18.651607, 182.599422, 12.607055, 155.324604, 6.994827, 127.485314, 0.000000, 99.442254, 3.896139, 72.482774, 8.806333, 44.593364, 22.292536, 17.666579, 48.798363, 0.000000, 78.507725, 11.444893, 89.318222, 39.981983, 94.425739, 66.708682, 90.263242, 95.186406, 86.645877, 122.212748, 85.257067, 149.169836, 87.128262, 177.457811, 91.516340, 204.308774, 93.515280, 232.621804, 90.851133, 259.591884, 74.194623, 276.155226, 63.444465, 273.754868
Type04, L, 280, 64.263817, 284.703767, 54.320496, 286.179401, 33.672061, 276.192393, 25.680772, 245.991188, 21.845233, 217.632585, 17.195186, 188.663209, 10.715750, 160.626045, 5.287203, 133.285234, 0.000000, 104.476618, 0.246484, 74.624868, 9.175657, 47.361267, 19.840006, 18.405436, 47.647189, 0.000000, 78.153416, 11.312486, 91.053032, 41.485754, 94.973814, 68.151978, 92.851606, 97.774568, 89.320932, 125.595698, 86.727002, 154.335674, 88.285617, 183.160721, 92.073482, 211.858731, 94.632702, 240.234926, 92.916839, 270.993571, 75.099843, 284.865125, 63.914265, 284.439084
Type05, L, 240, 56.044169, 244.744394, 47.689330, 245.772405, 30.275719, 235.875255, 24.239409, 210.525879, 20.583432, 185.883991, 19.143092, 159.543230, 12.700926, 135.815519, 2.735784, 112.950432, 0.000000, 87.297607, 4.126500, 62.811575, 12.781435, 38.470935, 24.802870, 15.478485, 50.070001, 0.000000, 74.400979, 13.357002, 79.742973, 40.475619, 86.492698, 62.127590, 80.996809, 87.922669, 73.057739, 111.493578, 70.430929, 136.617442, 74.830153, 160.304770, 80.747817, 184.784149, 85.909926, 208.422723, 81.076406, 234.517337, 64.185295, 245.495965, 55.945049, 244.290739
Type05, L, 260, 59.284198, 265.105451, 50.162227, 266.309385, 33.851262, 252.284919, 28.227335, 226.522559, 24.106490, 198.851976, 22.421791, 173.077004, 14.871481, 145.682731, 5.600514, 121.207216, 0.000000, 93.636226, 2.718264, 67.919899, 11.535006, 42.383765, 22.438823, 15.545113, 48.317662, 0.000000, 75.250511, 14.811889, 82.134858, 43.042710, 89.424672, 68.682042, 87.018632, 96.711433, 80.060301, 122.103957, 74.845934, 147.587814, 78.183915, 175.174589, 84.297590, 201.015902, 89.376457, 226.436205, 86.580021, 253.576850, 68.705229, 266.751226, 58.837582, 264.421538
Type05, L, 280, 64.808315, 285.768693, 74.359099, 286.334148, 94.047721, 270.839492, 93.620281, 241.763866, 88.644934, 213.613812, 82.197030, 185.857011, 78.726529, 157.352108, 83.705385, 128.146815, 93.035658, 101.573999, 94.152871, 71.091211, 85.869078, 44.587080, 80.398993, 13.872508, 48.504726, 0.000000, 21.991428, 20.730652, 10.600902, 49.053736, 1.972438, 76.604978, 0.000000, 106.209968, 5.957049, 134.101310, 15.907173, 161.106966, 22.745276, 190.009279, 26.096432, 218.977914, 28.914505, 244.815889, 35.776477, 274.408225, 55.309795, 287.491856, 65.074084, 285.254224
Type05, L, 290, 68.929564, 295.406038, 59.509367, 297.426116, 38.746760, 284.604845, 31.110110, 254.350170, 25.948714, 225.744989, 23.509235, 195.110707, 16.832704, 166.690110, 6.071431, 136.710566, 0.000000, 108.490557, 2.472562, 77.639920, 11.030539, 49.622215, 22.828336, 20.203423, 50.368188, 0.000000, 82.310350, 14.016572, 91.149299, 44.960958, 98.078906, 73.140840, 98.747980, 103.382068, 88.469893, 131.481387, 82.471529, 160.979993, 85.675988, 193.223354, 93.139510, 220.853441, 98.756643, 250.831711, 98.813283, 281.203182, 79.061809, 296.266864, 68.277308, 294.823389
Type06, L, 230, 52.644208, 234.371489, 44.784370, 234.578875, 28.577104, 224.084602, 22.033293, 200.618206, 19.965704, 176.880662, 15.576388, 153.933353, 9.399112, 130.253319, 3.910760, 107.407718, 0.000000, 83.564921, 1.929023, 59.542498, 8.481009, 36.429115, 19.667195, 12.848870, 43.787455, 0.000000, 67.899773, 13.666594, 75.854622, 37.344381, 81.126502, 59.678437, 80.741402, 83.990151, 78.046640, 106.698684, 75.105739, 130.667348, 75.661260, 154.424229, 79.288939, 178.424029, 81.562351, 200.743558, 78.686292, 226.511310, 59.821796, 235.257097, 52.851545, 233.901412
Type06, L, 240, 54.889890, 244.127220, 46.115144, 244.346991, 29.816314, 234.391207, 23.378001, 208.688369, 19.287690, 185.808464, 15.208407, 160.212054, 10.132866, 137.652969, 3.277701, 113.653987, 0.000000, 88.630551, 1.699456, 65.881335, 8.005424, 41.844741, 17.653584, 17.810661, 40.020725, 0.000000, 66.904046, 9.423127, 77.771543, 34.939548, 82.317920, 57.997335, 82.337947, 83.410896, 79.396104, 107.952089, 76.123708, 133.327751, 77.129407, 158.093168, 80.111447, 183.110734, 83.438501, 208.060614, 79.365545, 233.090094, 62.640071, 245.285432, 54.863305, 243.342022
Type06, L, 250, 55.702713, 255.387675, 46.976859, 256.145345, 30.465627, 244.830010, 21.391088, 219.355487, 19.182396, 194.296638, 14.633190, 167.713739, 8.950386, 143.210642, 3.087010, 118.183203, 0.000000, 92.644940, 1.045391, 67.329459, 8.231685, 42.110968, 19.712081, 17.533622, 44.469480, 0.000000, 70.716809, 14.484256, 79.821487, 40.217420, 84.670456, 65.919352, 85.911874, 91.109654, 81.387032, 116.778332, 79.604597, 141.817627, 80.781606, 168.207492, 82.899077, 193.292837, 86.211650, 219.634356, 82.814164, 245.003205, 63.882002, 256.794310, 55.646077, 254.552230
Type06, L, 270, 61.884557, 275.262335, 53.209180, 277.026800, 32.480565, 265.942170, 26.073061, 238.814692, 21.780027, 211.551115, 18.456656, 184.273221, 12.403298, 156.535189, 4.444398, 130.001589, 0.000000, 101.801996, 2.035636, 73.851307, 9.399261, 47.337509, 19.428928, 20.045351, 46.038698, 0.000000, 74.698899, 13.390540, 85.793508, 41.692429, 90.790192, 68.851067, 90.023843, 98.346634, 86.561711, 124.706961, 83.086103, 151.855059, 84.030073, 179.377320, 87.729778, 207.428464, 90.981586, 233.218050, 89.134517, 261.563285, 71.088839, 276.031615, 61.774120, 274.691855
