type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26
Type04, L, 250, 62.368376, 251.749078, 54.757466, 252.693440, 36.160134, 244.011258, 26.134775, 219.277762, 24.602195, 193.121110, 19.396668, 168.280220, 13.298664, 144.550452, 6.843665, 120.450393, 1.736328, 96.192518, 0.000000, 70.149225, 7.048673, 46.629173, 15.334218, 21.494637, 34.870284, 2.022409, 61.356905, 0.000000, 81.867504, 19.355030, 89.681229, 44.145534, 91.399228, 68.706367, 88.248091, 92.976221, 84.815174, 117.661310, 83.281143, 142.369466, 87.136817, 168.390287, 88.823566, 191.484700, 91.483750, 216.053825, 88.409555, 241.638551, 70.079898, 252.599120, 62.440479, 251.056312
Type04, L, 260, 59.500218, 262.101964, 51.067859, 262.622879, 32.641656, 252.550234, 26.624828, 225.948081, 22.978899, 201.308119, 18.782850, 175.190436, 12.872614, 150.542846, 7.091542, 124.957713, 1.448173, 99.955588, 0.000000, 74.257506, 6.989134, 49.582921, 15.086577, 23.814071, 33.963889, 2.551950, 62.326872, 0.000000, 81.810854, 21.675886, 88.945315, 46.965902, 91.210009, 72.092171, 86.729519, 97.586230, 83.091998, 122.531665, 82.773080, 148.323078, 85.456581, 174.914311, 88.437839, 199.969726, 91.460194, 226.651008, 86.521464, 252.748196, 67.128790, 263.833006, 59.918119, 261.249922
Type04, L, 265, 60.713363, 267.145850, 52.691692, 268.339536, 33.306681, 259.800377, 25.982888, 232.298823, 22.777946, 206.625037, 19.057927, 179.815395, 13.358903, 154.353690, 7.710616, 128.582150, 2.398406, 103.146756, 0.000000, 76.917248, 6.601292, 51.496305, 14.388291, 25.817897, 32.142452, 2.640472, 61.828706, 0.000000, 82.580906, 21.581556, 88.480332, 48.207126, 92.592879, 72.981319, 88.394308, 99.092620, 85.869730, 124.489907, 84.682066, 151.083375, 86.932827, 176.225397, 90.310729, 202.776713, 91.816883, 228.665599, 87.967875, 256.838858, 69.880242, 268.485652, 60.737336, 266.382079
Type04, L, 270, 62.382285, 272.898297, 53.878530, 274.371406, 33.431898, 265.138902, 26.435779, 238.398125, 22.458301, 212.084034, 18.100070, 185.608503, 12.334925, 159.338267, 7.274632, 133.100335, 0.000000, 105.908879, 0.312807, 80.160275, 5.345987, 53.625817, 13.424030, 27.319142, 33.257191, 4.427363, 62.836907, 0.000000, 83.394513, 21.957776, 90.255212, 48.532024, 92.369401, 74.711858, 87.163622, 101.809029, 84.789503, 127.185476, 83.795031, 153.596662, 86.440672, 180.231335, 90.422482, 206.198383, 92.019422, 233.094293, 88.637316, 259.025597, 72.073709, 274.287959, 62.076646, 271.895460
Type04, L, 280, 65.284315, 283.332257, 55.972364, 284.594115, 35.763946, 275.849964, 27.201541, 247.154570, 23.345533, 219.959055, 19.241482, 192.235541, 13.166252, 165.300361, 7.667062, 138.919049, 2.664654, 112.213639, 0.000000, 83.248545, 6.667084, 56.731741, 15.190048, 29.409489, 33.468576, 5.177215, 64.736906, 0.000000, 86.539400, 23.256254, 94.243198, 50.160650, 95.783593, 77.313531, 92.788618, 104.587935, 89.544659, 131.923088, 87.776355, 158.910196, 90.008173, 187.019749, 93.543656, 213.917102, 95.781571, 241.617971, 93.213703, 270.616996, 75.476593, 283.540976, 65.106653, 282.965002
Type05, L, 240, 56.069545, 242.595221, 48.287217, 243.459538, 31.154236, 234.700226, 24.705324, 210.442446, 20.986997, 187.096045, 19.553702, 161.797726, 14.679491, 138.677869, 5.169029, 116.829021, 0.000000, 93.135127, 2.393968, 68.839383, 8.894291, 46.053259, 19.303342, 22.706118, 35.723686, 3.760485, 64.790974, 0.000000, 76.704786, 24.149399, 83.435598, 46.138831, 85.347957, 69.156833, 78.760556, 92.810593, 71.505410, 115.894534, 71.365293, 139.649974, 75.725328, 162.317894, 81.757237, 185.757936, 85.882971, 208.378832, 80.292691, 233.424813, 63.732593, 243.157065, 56.120412, 242.197159
Type05, L, 260, 58.256518, 261.589005, 49.809541, 262.802670, 33.516271, 249.820337, 27.762452, 225.341624, 23.411795, 198.851885, 22.028896, 174.152618, 15.817483, 147.963402, 7.033643, 124.139412, 0.000000, 98.651207, 0.047115, 73.091760, 6.802056, 49.064468, 16.093822, 23.521685, 32.851668, 1.419552, 62.464547, 0.000000, 78.239325, 24.140789, 84.110967, 49.048759, 88.790088, 75.270418, 83.959662, 100.873563, 77.326324, 125.302821, 73.992433, 149.853137, 78.334460, 176.394185, 84.056019, 200.735540, 88.574618, 225.247889, 84.682175, 251.189816, 67.201437, 263.140335, 57.938536, 260.928566
Type05, L, 280, 64.282748, 283.777032, 73.260629, 284.307016, 92.511860, 270.110072, 93.509989, 242.214407, 88.687721, 215.311421, 82.914088, 188.644539, 78.246692, 161.676615, 81.401118, 133.646553, 89.484011, 107.571059, 95.102193, 80.147679, 87.764860, 52.193691, 83.967149, 26.177171, 65.457375, 0.000000, 32.674027, 5.741201, 16.006686, 31.049602, 6.176811, 57.818176, 0.000000, 84.674761, 0.530942, 113.108500, 7.997898, 138.922899, 17.153969, 165.362556, 22.915201, 193.090826, 25.867739, 220.471253, 28.718509, 245.195665, 36.177596, 273.674911, 55.368801, 285.313617, 64.399385, 283.317965
Type05, L, 290, 68.165264, 292.869045, 59.399559, 294.703914, 39.023264, 283.279154, 30.897879, 254.287424, 25.776569, 227.059743, 23.249468, 197.767222, 18.060743, 170.325504, 8.086943, 141.953639, 0.417208, 114.536305, 0.000000, 85.899245, 6.809867, 57.743971, 15.949756, 30.643707, 34.526778, 4.491661, 66.411359, 0.000000, 87.724338, 25.249644, 92.252266, 53.167251, 99.448731, 81.161866, 94.977446, 109.604148, 85.666909, 136.127006, 81.718738, 165.678515, 86.311760, 195.519694, 93.227118, 222.113666, 98.376510, 250.918215, 97.231141, 279.855382, 77.644123, 293.677787, 67.716342, 292.250679
Type06, L, 230, 52.055540, 230.664466, 44.656995, 230.867398, 28.875500, 221.216941, 21.782902, 199.025533, 19.671625, 176.163648, 15.992989, 154.323333, 10.130517, 131.586063, 4.743696, 109.708469, 0.273276, 87.201733, 0.000000, 64.094946, 5.146305, 41.762580, 13.179107, 19.254324, 30.296825, 0.000000, 56.358152, 0.039259, 71.914160, 20.666383, 77.486585, 41.885866, 81.077887, 64.777794, 79.357688, 86.933285, 76.689856, 109.397756, 74.263596, 131.962910, 75.736041, 155.025615, 79.054991, 177.591121, 81.105024, 199.202821, 77.136115, 223.726175, 58.789503, 231.384567, 52.377329, 230.266025
