type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type04, L, 265, 61.547125, 267.913628, 48.483785, 270.433436, 27.515625, 251.655626, 24.739289, 214.725523, 19.034483, 179.620281, 11.672806, 144.415821, 3.408154, 110.477838, 0.000000, 74.380689, 10.245932, 41.339165, 25.422442, 4.044868, 69.628669, 0.000000, 88.027865, 37.673581, 92.896858, 70.827429, 88.417560, 106.007248, 84.545444, 141.030928, 87.140497, 176.043944, 91.401702, 210.970842, 93.104999, 247.824151, 75.576296, 270.102054, 60.132733, 267.323580
Type04, L, 270, 62.756188, 273.772834, 48.906060, 276.154454, 27.090072, 257.378195, 24.660040, 220.569119, 16.974071, 185.098719, 11.156748, 149.603493, 0.538190, 113.417818, 0.000000, 77.623567, 7.662749, 42.852644, 26.228047, 5.909703, 69.784874, 0.000000, 89.238151, 37.896350, 92.713573, 72.214070, 86.318916, 109.125901, 83.291134, 143.303882, 85.983261, 179.735619, 91.330868, 215.079108, 92.617928, 250.921916, 77.216492, 274.245794, 61.166059, 273.704850
Type04, L, 280, 66.141565, 284.056246, 51.599324, 286.688316, 29.547247, 267.425790, 25.441888, 228.419952, 19.283194, 191.830106, 11.433251, 154.970180, 3.818586, 120.148330, 0.000000, 80.400494, 10.580785, 45.866878, 26.917288, 6.581404, 72.295449, 0.000000, 93.849550, 39.600187, 96.548795, 74.313061, 92.774783, 112.461849, 87.872400, 148.327949, 90.191913, 186.503487, 94.817198, 222.533667, 97.833479, 261.615453, 81.555844, 284.393160, 64.620080, 284.000728
Type05, L, 240, 57.504340, 242.125826, 44.616816, 243.857863, 27.545629, 226.013433, 22.717884, 193.811886, 20.848032, 159.910127, 12.337766, 129.260510, 0.000000, 99.031969, 3.522103, 65.178371, 13.718491, 35.550916, 31.433823, 2.969835, 71.071489, 0.000000, 81.440223, 37.304081, 88.207143, 65.014602, 77.196086, 98.447526, 70.460766, 129.191981, 76.328294, 161.143546, 84.597234, 191.614619, 87.534527, 224.281508, 68.481768, 243.479681, 56.578908, 241.642003
Type05, L, 260, 58.993569, 261.602109, 45.312078, 261.998591, 29.907123, 241.434869, 24.773622, 206.570795, 22.259581, 172.050282, 13.118498, 137.760946, 0.328789, 105.047817, 0.000000, 69.331921, 10.970977, 38.226203, 26.844473, 0.736110, 69.272162, 0.000000, 82.222439, 38.353564, 89.608713, 71.139529, 83.263372, 107.282780, 73.456042, 138.721342, 77.892434, 174.944249, 86.213553, 207.515218, 90.420119, 241.698913, 72.176821, 263.206808, 57.528636, 260.891441
Type05, L, 280, 64.578224, 284.319595, 79.257036, 284.204666, 98.101697, 260.752049, 90.578875, 223.187846, 83.553590, 188.038508, 77.364784, 149.911919, 89.396715, 114.675091, 95.735299, 76.274280, 87.181283, 41.992401, 74.247861, 0.000000, 26.329255, 6.603761, 11.449092, 47.011040, 0.000000, 81.031978, 1.662505, 120.532832, 14.793738, 153.945330, 23.828315, 192.417388, 27.577530, 228.024916, 31.120137, 263.367877, 50.992888, 286.715786, 66.133601, 283.492327
Type05, L, 290, 68.977739, 293.680799, 54.324315, 296.305534, 33.615825, 274.004736, 27.371569, 235.811968, 23.501096, 197.395526, 15.277827, 159.165821, 0.556206, 122.316796, 0.000000, 82.696857, 10.907034, 47.033705, 27.194089, 6.122424, 75.034539, 0.000000, 91.467040, 42.337343, 99.385951, 78.091972, 94.508079, 117.162647, 80.337496, 153.284462, 86.289987, 195.422533, 95.057807, 230.598135, 102.076480, 271.292695, 83.838982, 293.968760, 66.781158, 293.612281
Type06, L, 230, 52.462599, 231.174370, 41.303807, 231.201355, 23.237891, 214.517768, 20.988115, 183.167200, 15.939581, 153.466918, 8.112384, 122.862702, 0.688984, 93.445419, 0.000000, 61.389405, 7.987125, 32.550138, 24.648374, 0.000000, 62.463898, 0.831435, 76.222585, 33.326653, 81.270839, 61.781130, 79.507273, 93.196346, 74.509625, 122.657385, 75.581240, 154.605525, 79.980188, 183.955995, 82.579138, 215.648359, 63.722315, 233.171229, 51.407381, 230.235687
Type06, L, 240, 54.785503, 244.097125, 42.010638, 245.214028, 25.361303, 226.657744, 20.784800, 195.553707, 15.360376, 163.391093, 8.740668, 133.754266, 0.000000, 102.021879, 0.006027, 70.798170, 7.644478, 41.650613, 21.449895, 7.637477, 59.655078, 0.000000, 78.532062, 34.075647, 82.270576, 63.748640, 81.179236, 96.757632, 75.509289, 128.858307, 76.784643, 161.291478, 81.262025, 193.505187, 83.809205, 226.025186, 65.665531, 245.414435, 53.929247, 243.730818
Type06, L, 250, 56.127204, 252.228805, 44.387233, 253.168019, 24.924598, 234.292975, 20.506277, 201.678400, 16.014276, 167.671033, 8.011333, 135.560936, 1.186720, 103.380581, 0.000000, 69.461378, 8.486400, 38.705222, 25.240871, 3.134657, 65.370143, 0.000000, 80.727535, 36.778172, 86.198093, 68.074304, 84.556268, 101.883105, 79.073674, 134.116183, 81.567238, 168.009296, 84.135670, 200.797824, 88.364875, 234.996318, 68.123519, 253.571063, 55.294921, 251.703274
Type06, L, 270, 61.781143, 273.466299, 48.087663, 275.643276, 27.127669, 256.693280, 23.315408, 220.891310, 18.202334, 185.784670, 10.931397, 149.853120, 0.046967, 115.703840, 0.000000, 77.581710, 8.577384, 45.296501, 24.079304, 6.011367, 67.545066, 0.000000, 86.169644, 39.019022, 90.637519, 73.554083, 88.214182, 111.383059, 82.241735, 144.574048, 83.660785, 181.383920, 88.497267, 216.284817, 92.406335, 250.822298, 74.977446, 274.293836, 60.319017, 273.011169
Type06, L, 280, 64.394638, 284.605681, 51.419448, 287.094266, 26.943737, 268.259190, 24.054216, 230.418683, 18.890931, 193.787095, 12.153870, 157.325632, 0.000000, 121.100653, 0.117503, 82.817673, 8.219364, 48.789435, 22.816820, 9.518939, 67.823318, 0.000000, 88.878039, 41.520675, 92.728517, 74.629849, 92.733384, 112.917406, 85.178001, 149.673209, 87.113234, 186.085741, 90.832966, 223.428241, 95.886939, 260.713594, 79.191288, 285.017977, 63.209379, 284.706017
Type07, L, 250, 60.878932, 255.199179, 48.145874, 257.359710, 27.832872, 240.420397, 23.050895, 206.662236, 18.371419, 173.429932, 11.084001, 140.901549, 1.897462, 110.085163, 0.000000, 75.237192, 10.788123, 44.530074, 26.533892, 10.096930, 65.675842, 0.000000, 85.871783, 35.219002, 86.936252, 66.476571, 86.221693, 100.626801, 82.598598, 133.271851, 84.792556, 169.186032, 84.781280, 199.209963, 90.709723, 235.552377, 73.159263, 255.342487, 60.217954, 255.580345
Type07, L, 270, 63.197371, 275.237509, 50.969327, 277.721699, 27.982427, 257.711969, 26.084906, 221.108153, 20.008469, 186.558013, 12.744001, 150.565842, 2.663723, 116.617774, 0.000000, 78.753927, 13.623709, 46.308516, 28.810842, 9.074255, 74.013386, 0.000000, 90.437883, 38.948462, 92.921216, 73.432532, 90.595236, 109.206838, 89.230376, 144.697819, 91.107990, 181.908485, 91.669192, 216.455849, 94.785612, 254.062432, 77.168581, 275.856097, 62.199106, 275.026475
Type07, L, 280, 63.839143, 284.699174, 50.571671, 286.341790, 27.233424, 267.426032, 26.253918, 228.529567, 19.425008, 192.300976, 12.737072, 154.962346, 1.894848, 119.598013, 0.000000, 81.417170, 12.699296, 46.654177, 28.598983, 7.797385, 74.106999, 0.000000, 92.332191, 40.789478, 94.914705, 75.997401, 91.488121, 113.465073, 88.273409, 149.568429, 88.102774, 188.040851, 93.095841, 225.573897, 96.646378, 262.552479, 78.888690, 286.913990, 62.274011, 284.093080
