type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21
Type04, L, 260, 61.398199, 267.225008, 48.873492, 268.494455, 29.862331, 250.557900, 26.631467, 217.408791, 21.108078, 185.001592, 13.860756, 152.768030, 6.374875, 120.643100, 0.000000, 88.003101, 8.007501, 56.239355, 17.985112, 23.228792, 49.528164, 0.000000, 82.073589, 20.073504, 91.278155, 54.127682, 92.394723, 85.667044, 85.075945, 118.185925, 83.993292, 150.543015, 87.446677, 184.532472, 91.449523, 216.612115, 93.499674, 251.614159, 72.185694, 269.198447, 60.761518, 266.787397
Type04, L, 265, 62.284946, 272.525255, 50.284648, 274.887034, 29.493835, 258.280892, 25.638275, 223.293683, 21.187295, 190.101658, 13.856045, 156.752143, 7.061425, 124.536748, 0.000000, 91.069143, 7.350584, 58.641031, 16.628522, 25.155863, 47.517917, 0.000000, 82.695363, 20.313444, 90.559706, 55.572278, 93.595004, 86.971364, 87.237705, 120.304876, 85.808651, 153.482666, 88.605463, 186.401161, 92.680216, 219.570349, 93.107500, 254.559262, 75.304619, 274.719685, 61.111288, 271.837299
Type04, L, 270, 64.549259, 277.430143, 51.912567, 279.715507, 30.043304, 263.004373, 26.791793, 228.243660, 20.330216, 194.650651, 14.200465, 161.211954, 5.862430, 127.073182, 0.000000, 93.255848, 7.132774, 59.881190, 16.392681, 25.958216, 49.838058, 0.000000, 83.746934, 19.320584, 93.171919, 55.121206, 93.204193, 88.201791, 86.655638, 122.257137, 85.495571, 155.053951, 88.793948, 189.241905, 93.616815, 222.770851, 93.829421, 256.546031, 78.054700, 278.213690, 63.186962, 277.160252
Type04, L, 280, 66.705413, 287.933130, 53.246129, 290.328670, 31.464304, 273.456586, 26.229896, 236.363569, 21.360365, 201.935473, 13.438479, 166.706752, 7.128674, 133.994218, 0.000000, 97.510853, 7.232674, 62.767381, 17.381406, 28.199529, 49.341412, 0.000000, 86.535411, 20.355180, 95.962021, 57.200515, 96.672807, 90.765601, 91.628183, 126.348748, 88.527723, 160.493137, 91.676125, 196.568253, 95.895898, 230.418409, 97.877251, 267.826501, 80.982144, 288.222196, 65.430932, 287.855247
Type05, L, 240, 56.473532, 247.495836, 44.731756, 249.160191, 27.350826, 233.201856, 22.357851, 202.706408, 20.014266, 171.012476, 14.367328, 141.034601, 1.510625, 113.238831, 0.000000, 81.760132, 9.160774, 52.008188, 19.664303, 23.221471, 51.039148, 0.000000, 77.505941, 21.952656, 83.189892, 53.388651, 85.551973, 81.538015, 72.666585, 112.286497, 70.656247, 141.762013, 76.571858, 171.563556, 84.618171, 200.513790, 85.404293, 231.521665, 66.770488, 248.856759, 55.732138, 246.961976
Type05, L, 260, 60.786762, 268.329884, 48.103608, 268.889133, 32.553536, 250.139236, 27.062237, 217.150953, 24.614645, 184.686586, 17.613223, 151.839996, 5.454517, 121.284868, 0.000000, 87.690101, 9.006890, 57.198202, 18.691484, 24.101524, 49.877608, 0.000000, 80.436529, 23.708332, 86.351405, 57.595791, 91.553940, 90.344503, 81.276040, 122.689912, 75.591459, 153.364964, 81.163037, 187.419989, 88.875948, 217.841033, 91.423188, 250.602298, 72.970329, 269.967249, 59.547715, 267.607380
Type05, L, 280, 65.985344, 289.384014, 79.375640, 289.570997, 98.703944, 267.936183, 92.868608, 232.518648, 85.997279, 198.881447, 79.580730, 163.849349, 85.428801, 129.090314, 98.422071, 94.782963, 89.795317, 60.026238, 86.478001, 23.724748, 50.440145, 0.000000, 18.343121, 30.939749, 8.396390, 64.442577, 0.000000, 99.822353, 6.326086, 134.969341, 18.676788, 167.288530, 25.829606, 203.882874, 29.157484, 236.780536, 33.369492, 270.863490, 53.434107, 291.748281, 67.227577, 288.604397
Type05, L, 290, 70.502093, 298.815925, 57.172411, 301.506666, 36.188020, 281.273030, 29.756608, 245.277417, 25.523470, 208.858029, 19.714348, 172.989115, 5.795580, 137.402317, 0.000000, 101.677737, 8.461323, 65.162348, 18.860542, 30.465309, 51.533492, 0.000000, 89.165057, 23.565998, 94.380736, 61.262311, 102.902658, 96.702417, 90.529210, 131.872229, 82.614711, 167.982103, 89.365977, 206.594514, 97.766003, 240.074195, 103.014208, 278.713755, 84.250055, 299.242583, 68.629815, 298.713436
Type06, L, 230, 53.670508, 236.961758, 43.326917, 237.027728, 25.578428, 222.000982, 22.210463, 192.348719, 18.477303, 164.274601, 10.903556, 135.370809, 4.132554, 107.521453, 0.000000, 77.897206, 6.308108, 49.413678, 15.641629, 20.065544, 45.006033, 0.000000, 72.825271, 21.206963, 79.262483, 49.782640, 82.995338, 78.341965, 79.085054, 106.983282, 75.508228, 135.528660, 77.598951, 165.471581, 81.686716, 193.012777, 83.039813, 223.379404, 63.867687, 238.771757, 52.924315, 236.075269
Type06, L, 240, 55.823700, 246.550144, 44.074945, 247.578692, 27.261085, 231.006024, 22.424522, 201.304772, 17.311365, 171.281994, 11.673068, 142.588941, 3.214345, 113.551408, 0.000000, 83.375220, 5.721811, 55.408158, 14.254283, 25.637882, 40.477847, 0.000000, 72.904873, 16.583583, 80.946092, 48.242319, 84.121025, 77.059726, 80.378759, 108.092329, 76.491022, 138.556979, 78.556946, 169.043479, 82.973227, 199.574133, 83.993674, 230.233174, 65.866649, 247.957718, 55.202982, 246.058530
Type06, L, 250, 56.819130, 257.899685, 45.858431, 258.904871, 26.924528, 241.787472, 21.336120, 211.010140, 17.853480, 179.012904, 10.440170, 148.321305, 3.705403, 117.995108, 0.000000, 86.738135, 5.592398, 55.752574, 16.092556, 25.327828, 45.485180, 0.000000, 76.707715, 21.938946, 82.802187, 54.475293, 88.163181, 85.233033, 82.753508, 116.367291, 80.397276, 147.404790, 82.441597, 179.115132, 85.650653, 210.299519, 88.050291, 242.453779, 67.834196, 259.330670, 56.186098, 257.300864
Type06, L, 270, 63.260861, 278.324188, 50.863116, 280.471957, 29.652027, 263.484443, 25.396720, 229.686903, 20.580411, 196.570962, 14.622811, 162.610323, 4.438969, 130.158295, 0.000000, 95.317936, 7.248542, 62.073284, 15.715805, 29.354995, 46.857361, 0.000000, 81.196468, 21.974473, 89.526722, 56.812230, 92.523415, 91.601279, 87.823387, 125.302881, 83.621851, 157.538551, 86.093375, 192.241993, 90.680044, 224.865230, 93.350553, 257.862111, 75.436742, 279.283010, 62.144774, 277.791048
Type06, L, 280, 66.188560, 288.298409, 54.449182, 290.734648, 30.118567, 273.857108, 26.151574, 238.392211, 21.774322, 203.376150, 15.857604, 169.438251, 5.340878, 134.437771, 0.000000, 100.009145, 7.687047, 64.411976, 15.077810, 32.439108, 46.082099, 0.000000, 83.516124, 21.856263, 91.871379, 57.938862, 96.004852, 91.187785, 92.217538, 126.663635, 86.958880, 161.679845, 89.683310, 195.808005, 93.357211, 231.363886, 97.246943, 266.491373, 79.903355, 288.998003, 65.320788, 288.244613
Type07, L, 250, 61.296804, 256.521045, 49.777593, 258.444558, 29.308430, 243.632638, 24.130742, 211.505736, 19.600358, 180.421179, 13.676845, 149.099511, 4.699934, 120.180115, 0.000000, 88.263548, 6.394766, 57.201679, 18.790811, 27.432414, 44.573882, 0.000000, 80.117351, 15.565840, 85.842213, 48.828190, 88.943088, 79.413017, 84.443655, 110.336126, 84.275576, 143.145788, 84.756986, 175.165148, 86.329902, 204.622385, 90.317377, 238.512644, 72.828973, 256.955492, 60.845898, 256.658762
Type07, L, 270, 64.694934, 277.230691, 53.433106, 279.435088, 30.924952, 261.971309, 27.520915, 226.718183, 23.075236, 194.661399, 15.603239, 160.068085, 7.701762, 128.470161, 0.000000, 93.059902, 10.226837, 60.675389, 21.181207, 27.909375, 51.749574, 0.000000, 87.703300, 17.348123, 92.228585, 55.262895, 94.819386, 86.839174, 90.999370, 121.178732, 91.345681, 154.751643, 92.727708, 189.849669, 93.573725, 222.298191, 95.757757, 258.261021, 77.486230, 277.801221, 64.024727, 276.958430
Type07, L, 280, 65.855723, 287.812755, 53.746178, 289.378241, 30.586867, 272.549731, 28.283445, 235.861945, 23.104227, 201.469077, 16.007208, 166.316447, 7.834415, 132.532517, 0.000000, 97.401997, 10.709884, 62.946611, 20.541552, 28.495369, 52.779010, 0.000000, 88.605735, 19.726758, 95.299912, 58.294207, 96.860236, 91.275023, 92.114443, 126.764126, 90.292171, 160.956410, 90.697591, 197.646808, 95.974417, 232.623443, 97.908036, 267.981107, 79.889459, 290.062714, 64.522132, 287.109905
