type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23
Type04, L, 250, 62.397038, 254.878194, 53.529854, 256.062057, 32.215794, 244.183741, 25.617352, 214.562507, 22.955419, 184.746128, 15.660998, 157.223798, 8.563079, 129.656575, 1.802074, 101.896898, 0.000000, 72.036093, 8.317613, 44.991723, 19.882846, 16.061903, 48.046420, 0.000000, 76.897565, 13.404263, 89.326596, 42.726831, 91.524829, 70.432572, 88.127934, 98.735579, 83.658907, 126.791791, 84.457097, 156.001823, 88.577598, 184.750074, 90.327104, 211.102336, 91.516854, 241.653867, 71.789160, 255.679393, 62.192703, 254.366626
Type04, L, 260, 59.888555, 265.578344, 49.323325, 266.640491, 30.242944, 252.247213, 25.912944, 222.129998, 21.508552, 193.166417, 15.612261, 163.864144, 8.746784, 135.068138, 1.934513, 105.963374, 0.000000, 76.623464, 8.701955, 48.174962, 19.232849, 18.446564, 48.247405, 0.000000, 77.946336, 15.363749, 88.420013, 46.110164, 91.811279, 74.069763, 86.440370, 103.928117, 82.606901, 132.173280, 83.802505, 162.796870, 87.312738, 192.267187, 91.005502, 221.954492, 90.067324, 253.006613, 69.062836, 267.525453, 59.820538, 264.957205
Type04, L, 265, 61.202769, 270.814993, 51.114911, 272.740189, 30.644226, 259.876446, 25.285685, 228.244267, 21.740332, 198.416910, 16.127408, 168.171843, 9.391944, 138.843820, 3.069980, 109.570363, 0.000000, 79.263927, 8.497622, 50.512047, 18.159634, 20.031184, 46.674764, 0.000000, 78.972903, 15.443820, 88.081068, 47.240323, 93.087436, 75.421724, 88.410208, 105.362695, 85.540206, 135.011686, 85.305070, 164.927577, 89.334645, 194.552413, 92.002406, 224.585773, 90.775993, 256.410527, 72.355057, 272.797863, 60.620998, 270.016163
Type04, L, 270, 62.372468, 275.870353, 51.731524, 277.819816, 30.169980, 264.703816, 25.281422, 233.382029, 20.481694, 203.289389, 14.456038, 172.770585, 8.652655, 142.872608, 0.131023, 111.591036, 0.000000, 81.883291, 6.213478, 51.371681, 17.672695, 21.258784, 47.495067, 0.000000, 79.131940, 14.762458, 89.373314, 46.842986, 92.604998, 76.108794, 86.498526, 107.726358, 84.112876, 136.393525, 83.971201, 167.651069, 88.744008, 197.270075, 91.766584, 228.260443, 90.629417, 258.070985, 74.059530, 277.167929, 61.531767, 275.160532
Type04, L, 280, 65.868332, 286.128641, 54.390247, 288.062808, 33.017730, 275.062121, 26.315389, 241.610208, 22.258121, 210.547508, 16.152764, 178.723006, 9.323773, 148.450662, 3.524789, 117.970535, 0.000000, 84.708033, 8.892639, 54.355122, 19.079144, 22.695387, 48.972533, 0.000000, 82.479889, 15.295125, 94.036373, 48.470342, 96.519188, 78.398091, 92.902335, 110.498885, 89.128480, 141.431503, 88.430646, 172.984541, 92.562663, 205.036046, 95.747276, 235.661024, 95.921268, 269.725368, 78.203980, 286.329639, 65.119727, 285.982471
Type05, L, 240, 56.399715, 245.966217, 46.626038, 247.314932, 28.895429, 234.752159, 23.625368, 206.965952, 20.230392, 179.316397, 18.128227, 150.753573, 7.446759, 126.038681, 0.000000, 98.986416, 2.295676, 71.227549, 11.225386, 44.583951, 22.603735, 18.867942, 50.722403, 0.000000, 76.013980, 17.171866, 81.563852, 46.276671, 86.773607, 70.831392, 77.694231, 98.846676, 70.604556, 125.184530, 72.805965, 152.280242, 79.084426, 178.637492, 85.761901, 204.942011, 83.341966, 233.113471, 65.504316, 247.133168, 56.033246, 245.395819
Type05, L, 260, 58.885361, 266.485717, 48.150873, 267.424886, 32.073714, 251.347151, 26.547928, 222.191584, 23.177882, 192.487210, 19.857666, 163.295657, 9.410673, 134.672535, 0.705861, 106.360894, 0.000000, 76.441699, 9.317200, 49.182884, 19.569870, 19.153815, 47.943585, 0.000000, 76.614205, 18.657259, 82.962058, 49.537410, 89.783590, 78.304568, 83.842425, 108.633274, 75.914175, 135.763851, 75.143565, 165.431008, 82.077920, 194.899825, 88.109279, 222.438860, 87.993637, 252.241594, 69.419343, 268.193517, 58.135528, 265.759236
Type05, L, 280, 64.606799, 287.364688, 75.701751, 287.927583, 95.764160, 269.446834, 92.460516, 237.755399, 86.950339, 206.701863, 79.561216, 176.519472, 79.876229, 143.809765, 89.316498, 114.146667, 96.058527, 81.765691, 86.623051, 51.484176, 82.652685, 18.268909, 48.502829, 0.000000, 19.554164, 25.258566, 8.737276, 56.040231, 0.000000, 86.885331, 1.214991, 119.470527, 10.810038, 148.968029, 20.714321, 179.746109, 25.171907, 212.369416, 28.210059, 241.104669, 33.690805, 272.906054, 53.765704, 289.472563, 65.256555, 286.729708
Type05, L, 290, 68.583177, 296.888779, 57.508037, 299.340111, 36.301262, 283.074997, 29.490293, 250.318772, 24.469947, 218.042334, 21.525112, 185.208894, 10.875647, 153.259678, 0.699182, 121.359276, 0.000000, 88.529738, 8.760971, 56.499920, 19.961816, 24.770263, 49.764978, 0.000000, 84.638594, 18.133662, 91.401435, 52.409906, 99.844492, 83.439003, 94.776043, 116.799708, 83.476703, 146.703217, 82.662767, 182.547788, 90.536123, 214.177953, 97.373387, 246.020069, 99.940106, 280.072244, 80.306878, 297.664464, 67.402997, 296.512143
Type06, L, 230, 52.346145, 235.533671, 43.390102, 235.686427, 26.360875, 223.244666, 21.192016, 196.853094, 18.781845, 171.233042, 12.741786, 145.567058, 6.199148, 119.954642, 0.622190, 94.486860, 0.000000, 67.696222, 6.676729, 42.313371, 17.012542, 16.005598, 43.580960, 0.000000, 69.451611, 17.052519, 76.686630, 42.827062, 81.531132, 68.212248, 79.368141, 94.180498, 76.089587, 119.817178, 74.220147, 145.949407, 77.968970, 172.674826, 80.867833, 197.171666, 80.210524, 225.220160, 60.738618, 236.866301, 52.187744, 234.849946
Type06, L, 240, 54.538522, 245.244657, 44.470846, 245.806086, 27.734840, 233.049265, 22.152973, 205.235283, 17.607198, 179.558517, 13.084663, 151.755690, 6.230517, 127.632212, 0.000000, 99.294909, 0.045330, 74.008738, 6.069808, 47.885194, 15.327561, 21.349465, 39.446057, 0.000000, 68.907999, 12.618748, 78.632390, 40.885224, 82.515385, 66.643957, 81.090529, 94.436082, 76.893220, 121.801410, 75.668686, 149.454804, 78.697389, 176.704610, 82.578087, 204.335615, 80.910492, 231.799619, 63.238009, 246.618400, 54.289712, 244.522789
Type06, L, 250, 55.852150, 256.541567, 46.149396, 257.397360, 28.411938, 243.620996, 20.839909, 215.515756, 18.392348, 187.656205, 12.542826, 158.558874, 5.993505, 132.391878, 0.799435, 103.695450, 0.000000, 76.322153, 6.529171, 48.109283, 17.709636, 21.082009, 44.546976, 0.000000, 73.167808, 17.784994, 80.909342, 46.669758, 86.104646, 74.585816, 84.648191, 102.637497, 79.742628, 130.291658, 80.355237, 158.913408, 82.147947, 186.891774, 85.817707, 215.477744, 85.000485, 243.915236, 65.264813, 258.023019, 55.544997, 255.772009
Type06, L, 270, 61.657252, 276.618276, 51.438824, 278.628725, 30.099750, 264.890874, 24.982620, 234.718410, 20.285166, 204.806449, 16.396636, 174.514804, 7.871656, 144.572429, 0.569007, 114.823039, 0.000000, 83.269405, 7.558665, 54.072259, 16.841304, 24.133519, 45.591757, 0.000000, 76.885115, 17.220176, 86.812279, 48.359146, 91.039718, 79.198736, 88.434960, 110.531070, 84.159437, 139.527397, 82.434765, 169.582319, 86.334327, 200.667033, 90.033200, 229.416973, 90.523156, 259.921234, 72.110879, 277.568886, 61.166368, 276.038324
Type06, L, 280, 64.125759, 286.659402, 54.333509, 288.634823, 30.787769, 275.562172, 24.711100, 243.544174, 21.307635, 212.335031, 16.630628, 181.078857, 9.051937, 150.448782, 0.000000, 118.858687, 0.095135, 87.625142, 6.957296, 56.209116, 15.861311, 27.146070, 44.342386, 0.000000, 78.272136, 16.990256, 89.005720, 49.458167, 93.118066, 79.110911, 92.648331, 110.877715, 87.052585, 142.511535, 85.704405, 173.543535, 88.909054, 204.792719, 92.490921, 236.565556, 93.942811, 268.527927, 76.075140, 287.475872, 63.743521, 286.396611
Type07, L, 250, 60.197538, 254.825148, 50.733485, 256.173836, 30.231528, 245.064880, 24.374118, 215.691982, 19.669106, 188.371396, 15.923385, 159.322190, 7.938378, 133.054326, 1.489370, 105.782692, 0.000000, 76.892127, 7.948129, 49.633129, 20.027964, 22.264426, 44.091138, 0.000000, 75.759577, 10.751347, 84.890789, 41.439151, 86.865883, 67.127562, 86.294637, 97.650273, 82.258992, 123.144340, 84.348646, 155.937224, 83.541828, 180.930932, 86.906893, 210.328439, 87.558021, 239.094118, 70.471912, 255.913328, 60.128244, 254.350897
Type07, L, 270, 62.606630, 275.551023, 52.888897, 277.271174, 31.595183, 263.871016, 25.562484, 231.452990, 22.991141, 202.988033, 16.429618, 171.784606, 10.068281, 142.676373, 1.676391, 112.736014, 0.000000, 81.203611, 10.469455, 52.671782, 21.838823, 22.672513, 49.586916, 0.000000, 83.129425, 12.677048, 89.120924, 46.435146, 93.243216, 75.320300, 89.806315, 105.884063, 89.450416, 135.930327, 89.413319, 167.245648, 91.374691, 197.814780, 91.813799, 227.565254, 92.613080, 259.942596, 73.250237, 276.152481, 62.612946, 275.089399
Type07, L, 280, 63.514243, 285.950542, 53.354667, 287.361051, 30.795398, 273.847099, 26.243928, 241.309214, 22.874534, 209.784293, 16.605496, 178.640607, 10.162642, 147.283333, 1.535263, 116.995251, 0.000000, 84.784312, 10.621105, 54.534784, 21.027694, 22.977931, 50.638045, 0.000000, 83.500848, 14.673797, 92.059080, 49.259112, 95.139522, 79.158158, 91.460435, 110.920341, 89.223396, 141.794963, 87.493847, 173.677929, 90.279146, 206.472951, 94.414546, 237.611701, 94.338890, 269.910613, 75.571308, 288.165402, 62.769736, 285.105587
