Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,
Type04,230,PCA_GPR,13.75836,12.73318,3.67288,0.72667,8.28275,0.76869,0.96981,0.98467,,,,,,,,,
Type04,230,PCA_KRR,13.99243,13.02158,3.73854,0.69876,6.07581,0.30009,0.96906,0.98429,,,,,,,,,
Type04,230,PCA_LINEAR,13.93041,12.90019,4.32883,1.00656,8.47386,0.82969,0.95862,0.97887,,,,,,,,,
Type04,230,PCA_SVR,14.46445,13.5589,3.51863,0.74202,3.02568,0.1476,0.97072,0.98514,,,,,,,,,
Type04,230,PURE_GPR,15.60555,14.7616,3.72594,0.94502,0.23503,0.05576,0.9567,0.97787,,,,,,,,,
Type04,230,PURE_KRR,13.89289,12.9201,3.71808,0.69142,6.48187,0.46016,0.96923,0.98437,,,,,,,,,
Type04,230,PURE_SVR,13.7955,12.77027,3.70598,0.70253,8.12511,0.67817,0.97145,0.98552,,,,,,,,,
Type04,230,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,
Type04,240,PCA_GPR,17.1638,16.37869,17.31105,2.49559,21.14538,3.4284,0.91327,0.95467,,,,,,,,,
Type04,240,PCA_KRR,14.74637,13.63264,5.25672,2.08844,12.05779,2.24626,0.92194,0.95938,,,,,,,,,
Type04,240,PCA_LINEAR,14.8732,13.77241,5.04214,1.79382,9.75852,1.77136,0.93205,0.96483,,,,,,,,,
Type04,240,PCA_SVR,14.75486,13.64764,5.82266,2.12997,11.69152,1.76934,0.92058,0.95865,,,,,,,,,
Type04,240,PURE_GPR,14.72004,13.63337,5.28819,1.90578,11.31676,2.08341,0.92234,0.9596,,,,,,,,,
Type04,240,PURE_KRR,14.7458,13.62434,5.3777,2.06814,12.8544,2.16577,0.91541,0.95584,,,,,,,,,
Type04,240,PURE_SVR,14.80061,13.62571,5.45377,2.04447,12.0494,1.95617,0.91733,0.95688,,,,,,,,,
Type04,240,RATIO_CTRL,1.72414,1.47946,3.31999,0.90975,0.04683,0.30413,0.96388,0.98161,,,,,,,,,
Type04,250,PCA_GPR,16.74654,15.35496,6.22176,1.31255,9.43274,0.95086,0.94867,0.97366,,,,,,,,,
Type04,250,PCA_KRR,15.75014,14.58924,5.64637,1.42434,11.09624,1.57823,0.94683,0.97269,,,,,,,,,
Type04,250,PCA_LINEAR,15.63813,14.49285,5.22194,1.12202,10.6084,0.99844,0.95684,0.97794,,,,,,,,,
Type04,250,PCA_SVR,15.4133,14.28582,5.2305,1.5871,11.29304,2.41317,0.93972,0.96892,,,,,,,,,
Type04,250,PURE_GPR,15.55078,14.38377,5.88156,1.25259,12.96829,1.40069,0.9406,0.96939,,,,,,,,,
Type04,250,PURE_KRR,15.88359,14.73008,6.04137,1.3799,11.65788,1.84142,0.93417,0.96596,,,,,,,,,
Type04,250,PURE_SVR,16.11446,14.94583,5.92404,1.42499,11.24993,2.04864,0.93518,0.96651,,,,,,,,,
Type04,250,RATIO_CTRL,1.21337,1.11966,1.25112,0.50641,1.43384,1.09533,0.97975,0.98977,,,,,,,,,
Type04,270,PCA_GPR,16.45512,15.22879,4.3919,1.05927,9.07044,0.06983,0.9582,0.97865,,,,,,,,,
Type04,270,PCA_KRR,16.9575,15.76286,4.67196,1.18364,9.71704,0.13754,0.9574,0.97824,,,,,,,,,
