Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type05,240,7.737355,1.521386,3.482262,0.404434,0.402428,0.322585,0.757149,1.264108,1.520906,0.406440,0.322926,0.833216,1.302108,1.521386,7.836314,1.746786,2.360105,0.541601,0.545296,0.452460,1.005776,1.167584,1.746786,0.537905,0.448121,0.975677,1.164527,1.746786,7.836314,1.746786,2.360105,0.541601,0.545296,0.452460,1.005776,1.167584,1.746786,0.537905,0.448121,0.975677,1.164527,1.746786
Type05,260,8.701935,4.941272,2.190340,1.957956,1.933014,1.786488,4.054907,4.433643,4.941272,1.982897,1.831754,4.081362,4.464109,4.941272,8.448126,3.298394,0.828031,1.376080,1.356456,1.147111,2.757676,2.905112,3.298394,1.395705,1.204452,2.769597,2.906482,3.298394,8.448126,3.298394,0.828031,1.376080,1.356456,1.147111,2.757676,2.905112,3.298394,1.395705,1.204452,2.769597,2.906482,3.298394
Type05,280,68.570841,9.036349,1.451900,2.403621,2.390643,1.724052,5.119272,7.340100,9.036349,2.416598,1.720024,5.464861,7.561718,9.036349,67.695142,2.994075,1.543817,1.077100,1.062410,0.847224,2.231209,2.512833,2.994075,1.091789,0.902469,2.245857,2.551729,2.994075,67.695142,2.994075,1.543817,1.077100,1.062410,0.847224,2.231209,2.512833,2.994075,1.091789,0.902469,2.245857,2.551729,2.994075
Type06,230,6.593713,0.835033,2.761964,0.282516,0.287132,0.223957,0.612867,0.692226,0.832721,0.277899,0.221884,0.584086,0.687638,0.835033,7.052788,1.219905,2.095539,0.443509,0.440932,0.334139,0.940425,1.061539,1.219905,0.446086,0.334282,0.949794,1.073494,1.219905,7.052788,1.219905,2.095539,0.443509,0.440932,0.334139,0.940425,1.061539,1.219905,0.446086,0.334282,0.949794,1.073494,1.219905
Type06,240,7.686757,3.228452,2.110137,0.969461,0.956831,0.731785,2.059445,2.830831,3.228452,0.982092,0.775100,2.125904,2.848150,3.228452,7.185638,2.970889,1.392327,0.872385,0.860876,0.674910,1.847085,2.591341,2.970889,0.883894,0.711229,1.907127,2.603792,2.970889,7.185638,2.970889,1.392327,0.872385,0.860876,0.674910,1.847085,2.591341,2.970889,0.883894,0.711229,1.907127,2.603792,2.970889
Type06,250,7.866101,2.595106,3.989753,0.900474,0.889330,0.716119,1.876400,2.346906,2.595106,0.911617,0.742671,1.902120,2.353458,2.595106,7.768058,2.182047,3.088697,0.762983,0.754787,0.629945,1.376515,1.856572,2.182047,0.771179,0.651392,1.401484,1.867338,2.182047,7.768058,2.182047,3.088697,0.762983,0.754787,0.629945,1.376515,1.856572,2.182047,0.771179,0.651392,1.401484,1.867338,2.182047
Type06,270,9.135816,4.744130,6.044843,1.353779,1.344020,1.027851,2.539839,4.000071,4.744130,1.363537,1.077747,2.510520,3.970049,4.743488,8.950553,3.995362,4.773170,1.162885,1.148331,0.778886,2.678599,3.474547,3.995362,1.177439,0.818656,2.682495,3.472858,3.995362,8.950553,3.995362,4.773170,1.162885,1.148331,0.778886,2.678599,3.474547,3.995362,1.177439,0.818656,2.682495,3.472858,3.995362
Type06,280,9.159356,3.631190,9.917001,1.169887,1.169542,0.817115,2.889008,3.337226,3.631190,1.170232,0.813380,2.974172,3.345255,3.631190,8.658382,3.740408,6.648906,1.277441,1.264446,0.986109,2.823502,3.110256,3.740408,1.290437,1.002062,2.838234,3.129883,3.740408,8.658382,3.740408,6.648906,1.277441,1.264446,0.986109,2.823502,3.110256,3.740408,1.290437,1.002062,2.838234,3.129883,3.740408
Type07,250,9.710475,13.643192,14.222854,1.286365,1.287741,0.812673,2.666232,3.778551,13.643192,1.284990,0.786708,2.672996,3.951763,13.643192,7.860745,10.058672,10.650499,0.925165,0.925881,0.697457,2.060047,2.388812,10.058672,0.924449,0.677249,2.062029,2.406305,10.058672,7.860745,10.058672,10.650499,0.925165,0.925881,0.697457,2.060047,2.388812,10.058672,0.924449,0.677249,2.062029,2.406305,10.058672
Type07,270,8.108537,10.674718,10.070151,1.616718,1.601555,1.291533,3.396663,4.082842,10.674718,1.631882,1.326550,3.450987,4.141417,10.674718,8.413447,10.562160,10.683271,1.213610,1.211312,1.075455,2.257571,2.598026,10.562160,1.215908,1.075753,2.269235,2.604947,10.562160,8.413447,10.562160,10.683271,1.213610,1.211312,1.075455,2.257571,2.598026,10.562160,1.215908,1.075753,2.269235,2.604947,10.562160
Type07,280,10.628213,10.156601,10.477642,1.726365,1.691342,0.958182,4.461282,5.340916,10.156601,1.761388,1.022229,4.590275,5.632187,10.156601,8.987443,10.181465,8.673484,1.388294,1.386265,1.153249,3.089405,3.696909,10.181465,1.390324,1.154766,3.102008,3.722105,10.181465,8.987443,10.181465,8.673484,1.388294,1.386265,1.153249,3.089405,3.696909,10.181465,1.390324,1.154766,3.102008,3.722105,10.181465
