Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type03,265,PCA_KRR,17.14752,15.86387,6.83625,1.52946,4.67837,0.83031,806.91127,0.94265,0.97048,15.44949
Type03,265,PCA_LINEAR,17.06142,15.68521,6.77833,1.56202,4.62663,0.86800,859.37260,0.94105,0.96963,15.28484
Type03,265,PCA_SVR,17.98974,16.88389,6.98436,1.58582,1.41899,0.28932,552.20356,0.94195,0.97010,16.42486
Type03,265,PURE_GPR,17.01054,15.67296,7.45376,1.72031,4.35671,1.09272,909.91019,0.92774,0.96251,15.24798
Type03,265,PURE_KRR,16.80460,15.49597,7.44354,1.68930,6.96260,1.14547,934.78530,0.93026,0.96387,15.06119
Type03,265,PURE_SVR,16.60850,15.24681,7.45539,1.68651,7.79197,1.24695,959.41265,0.93153,0.96455,14.82634
Type03,265,RATIO_CTRL,3.24153,2.75407,5.75355,2.12207,5.79372,3.66788,406.37437,0.92951,0.96347,2.74422
Type03,270,PCA_GPR,12.95981,11.74168,14.53873,5.21703,52.53281,4.19028,2490.78645,0.83170,0.90812,11.69820
Type03,270,PCA_KRR,17.09002,15.77902,6.35523,1.96484,3.05664,0.29226,722.29844,0.92972,0.96358,15.47546
Type03,270,PCA_LINEAR,16.96095,15.61592,6.32094,1.99756,3.87813,0.42836,766.02465,0.92869,0.96303,15.32158
Type03,270,PCA_SVR,17.86659,16.60488,6.40978,2.02250,1.97688,0.06002,583.90201,0.92799,0.96265,16.28243
Type03,270,PURE_GPR,16.59714,15.27488,4.91621,2.00587,4.83357,0.68693,860.34149,0.91642,0.95639,14.98108
Type03,270,PURE_KRR,16.77554,15.45038,5.09534,1.98479,5.02171,0.58964,873.77139,0.91789,0.95719,15.14527
Type03,270,PURE_SVR,16.80108,15.44014,5.30363,2.04865,5.30710,0.68226,910.33224,0.91698,0.95669,15.13921
Type03,270,RATIO_CTRL,2.19752,1.79830,4.66066,1.52023,6.90767,4.57501,632.11401,0.94576,0.97213,1.79792
Type03,275,PCA_GPR,13.01997,11.49310,20.16844,5.45726,67.80882,4.86586,2965.60116,0.82882,0.90640,11.48247
Type03,275,PCA_KRR,17.37289,15.94601,4.80016,1.66158,1.90298,0.29698,625.69208,0.94127,0.96975,15.68974
Type03,275,PCA_LINEAR,17.25738,15.85839,4.79118,1.68831,2.84272,0.16502,643.74208,0.93778,0.96789,15.61163
Type03,275,PCA_SVR,17.81044,16.36511,5.35113,1.72162,0.65993,0.44047,577.01490,0.93628,0.96709,16.09412
Type03,275,PURE_GPR,16.37845,14.94942,5.18488,1.69392,6.87620,0.32770,841.73601,0.93043,0.96396,14.68561
Type03,275,PURE_KRR,17.06199,15.61365,5.24043,1.66254,3.16199,0.01321,766.85418,0.93006,0.96376,15.33219
Type03,275,PURE_SVR,17.22778,15.77205,5.25319,1.72065,2.69045,0.00617,783.70783,0.92927,0.96334,15.49278
Type03,275,RATIO_CTRL,3.33394,2.68088,7.46438,2.25337,8.28872,5.62483,890.08619,0.92559,0.96136,2.67510
Type03,280,PCA_GPR,15.45041,14.05200,27.99741,7.09169,90.29113,6.02761,3627.73815,0.78826,0.88159,12.96719
Type03,280,PCA_KRR,17.81873,16.46769,5.54662,1.76719,10.83238,0.18962,772.20503,0.93803,0.96802,15.86801
Type03,280,PCA_LINEAR,18.13576,16.80721,5.55774,1.81676,9.20961,0.25883,698.64418,0.93689,0.96742,16.15613
Type03,280,PCA_SVR,17.28568,15.83142,5.59150,1.88013,15.37208,0.14169,925.84364,0.93462,0.96620,15.29529
Type03,280,PURE_GPR,16.39487,14.92296,4.97250,2.13010,18.21721,0.66135,1077.01162,0.92143,0.95911,14.46156
Type03,280,PURE_KRR,17.32919,15.96121,4.34537,1.72119,11.44539,0.07699,874.14713,0.93061,0.96406,15.39607
Type03,280,PURE_SVR,17.47780,16.12966,4.39437,1.66116,10.56832,0.03447,849.89862,0.93270,0.96518,15.54291
Type03,280,RATIO_CTRL,7.61690,7.47237,6.56217,2.09653,2.58099,6.16707,974.17217,0.93209,0.96485,2.70277
Type04,230,PCA_GPR,28.09545,27.43321,26.81869,6.82789,74.96805,3.81361,2742.10314,0.79336,0.88477,27.23970
Type04,230,PCA_KRR,13.87640,12.89472,3.97661,0.78316,7.37155,1.77100,314.02829,0.96730,0.98338,12.47156
Type04,230,PCA_LINEAR,13.58432,12.62954,4.38726,0.90875,10.91929,1.62944,289.65757,0.96336,0.98134,12.24310
Type04,230,PCA_SVR,14.12417,13.19665,3.87201,0.77319,5.51339,1.65923,274.79915,0.96648,0.98295,12.76321
